frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1622635414.508276000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54182	80											
1622635415.079269000	368	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54184	80											
1622635415.306428000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54185	80											
1622635415.476123000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54186	80											
1622635415.607260000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54187	80											
1622635415.748160000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54188	80											
1622635415.875319000	522	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54189	80											
1622635415.995283000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54190	80											
1622635416.355418000	516	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54191	80											
1622635416.515194000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54192	80											
1622635416.660285000	515	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54193	80											
1622635416.802604000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54194	80											
1622635416.936775000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54195	80											
1622635417.059129000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54196	80											
